,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,classement,ville,idx_cout_vie,idx_loyer,idx_cout_vie_loyer,idx_courses,idx_prix_restaurants,idx_pouvoir_achat_local,Pays,lat,lon
120,120,120,1,1,2,Bilbao,55.65,25.82,41.39,48.49,53.78,81.02,Espagne,43.2630018,-2.9350039
121,121,121,2,2,3,Madrid,53.27,28.98,41.66,41.96,53.04,86.84,Espagne,40.4167047,-3.7035825
122,122,122,3,3,4,Palma de Majorque,52.89,24.24,39.2,40.13,53.68,70.25,Espagne,39.5695818,2.6500745
123,123,123,4,4,5,Valence,50.07,22.27,36.78,43.67,49.83,72.54,Espagne,39.4697065,-0.3763353
124,124,124,5,5,6,Pampelune,49.95,20.85,36.04,44.25,50.04,122.49,Espagne,42.8182536,-1.6440304
125,125,125,6,6,7,Oviedo,49.17,14.11,32.41,41.66,47.08,107.1,Espagne,43.3604218,-5.8450534
126,126,126,7,7,8,Alicante,48.93,18.45,34.36,38.45,50.38,72.53,Espagne,38.3436365,-0.4881708
127,127,127,8,8,9,Séville (Séville),48.68,17.2,33.64,42.93,43.15,80.2,Espagne,37.3886303,-5.9953403
128,128,128,9,9,10,Grenade,48.6,16.59,33.3,40.39,47.56,95.01,Espagne,37.1734995,-3.5995337
129,129,129,10,10,11,Malaga,48.06,21.6,35.42,37.93,45.67,87.05,Espagne,36.7213028,-4.4216366
130,130,130,11,11,12,Las Palmas de Gran Canaria,46.09,20.27,33.75,40.14,39.9,61.22,Espagne,28.1288694,-15.4349015
131,131,131,12,12,13,Santa Cruz de Ténérife,45.54,18.29,32.52,38.66,43.34,72.3,Espagne,28.469648,-16.2540884
132,132,132,13,13,14,Murcie,45.39,23.59,34.97,34.31,46.15,65.16,Espagne,37.9923795,-1.1305431
133,133,133,14,14,15,Zaragoza (Saragosse),44.32,17.52,31.51,36.4,42.2,89.98,Espagne,41.6521342,-0.8809428
134,134,134,15,15,16,Vigo,43.41,16.03,30.33,34.77,43.51,77.47,Espagne,42.2376602,-8.7247205
135,135,135,0,0,1,"Santa Barbara, Californie",110.95,92.44,102.1,116.39,115.45,72.3,États Unis,34.4221319,-119.702667
136,136,136,1,1,2,"Honolulu, Hawaii",101.43,61.61,82.4,110.44,81.22,84.48,États Unis,21.304547,-157.855676
137,137,137,2,2,3,"New York, New York",100.0,100.0,100.0,100.0,100.0,100.0,États Unis,40.7127281,-74.0060152
138,138,138,3,3,4,"San Francisco, Californie",98.45,91.9,95.32,97.42,97.44,105.87,États Unis,37.7790262,-122.419906
139,139,139,4,4,5,"Seattle, Washington",91.78,67.84,80.34,87.16,95.16,129.3,États Unis,47.6038321,-122.330062
140,140,140,5,5,6,"Oakland, Californie",89.53,74.84,82.51,89.82,81.25,90.32,États Unis,37.8044557,-122.271356
141,141,141,6,6,7,"Anchorage, Alaska",87.07,40.7,64.91,89.55,78.24,105.37,États Unis,61.2163129,-149.894852
142,142,142,7,7,8,"Boston, Massachusetts",84.07,75.27,79.87,81.2,88.05,112.83,États Unis,42.3554334,-71.060511
143,143,143,8,8,9,"Sacramento, Californie",83.76,52.23,68.69,87.35,72.57,116.49,États Unis,38.5810606,-121.493895
144,144,144,9,9,10,"Washington, District de Colombie",83.1,71.29,77.45,80.85,82.6,127.39,États Unis,38.915419,-77.04728876827758
145,145,145,10,10,11,"San Jose, Californie",82.68,73.47,78.28,77.65,82.1,141.18,États Unis,37.3361663,-121.890591
146,146,146,11,11,12,"San Diego, Californie",81.99,75.82,79.04,75.8,83.74,120.39,États Unis,32.7174202,-117.1627728
